!SIL sil
<UNK> spn
żal	Z a l
warner	v a r n e r
nabierają	n a b i e r a j oc5
dolinę	d o l j n e
zbliżało	z b l j Z a w o
umyka	u m i2 k a
wpłynie	v p w i2 n i e
uśmiechnięty	u sj m i e h n i eo5 t i2
dotrzymaj	d o t S i2 m a j
terminów	t e r m i n u v
opiekunie	o p i e k u n i e
bądź	b oc5 dzj
chlubnie	h l u b n i e
czyni	tS i2 n i
wielką	v i e l k oc5
tego	t e g o
kanapie	k a n a p i e
maurice	m a u r j c e
wzdłuż	v z d w u S
sądzenia	s oc5 dz e n i a
jedna	j e d n a
obić	o b i tsj
niteczek	n i t e tS e k
zwierciadełka	z v i e r tsj a d e w k a
brzegu	b Z e g u
zaś-	z a sj e
skarbem	s k a r b e m
mogiły	m o g i w i2
polskim	p o l s k i m
momentom	m o m e n t o m
flood	f l o o d
będą	b eo5 d oc5
skalę	s k a l e
przekrwioną	p S e k r v i o n oc5
wersji	v e r s j i
cierpienie	tsj e r p i e n i e
będzie	b eo5 dzj e
pietrowicz	p i e t r o v i tS
naturalnym	n a t u r a l n i2 m
czarującego	tS a r u j oc5 c e g o
powrocie	p o v r o tsj e
cegiełką	c e g i e w k oc5
odkrywa	o t k r i2 v a
oprzyj	o p S i2 j
przekazywania	p S e k a z i2 v a n i a
twej	t f e j
nierychło	n i e r i2 h w o
praktykom	p r a k t i2 k o m
nikczemność	n i k tS e m n o sj tsj
osobliwy	o s o b l j v i2
postawienia	p o s t a v i e n i a
priorytetów	p r j o r i2 t e t u v
instrumentu	i n s t r u m e n t u
tajemniczy	t a j e m n i tS i2
poczucia	p o tS u tsj a
gorączkowo	g o r oc5 tS k o v o
ważne	v a Z n e
zosię	z o sj i e
kopia	k o p i a
zniszczone	z n i S tS o n e
stanowi	s t a n o v i
główną	g w u v n oc5
zły	z w i2
syna	s i2 n a
maryjo	m a r i2 j o
zanosimy	z a n o sj i m i2
sprawy	s p r a v i2
obywatel	o b i2 v a t e l
statek	s t a t e k
pogrążony	p o g r oc5 Z o n i2
poznała	p o z n a w a
najdoskonalszej	n a j d o s k o n a l S e j
puścili	p u sj tsj i l j
puckiej	p u c k i e j
nieśmiałą	n i e sj m i a w oc5
maria	m a r j a
niepowodzenia	n i e p o v o dz e n i a
cesarza	c e s a Z a
otchłanie	o t h w a n i e
mówicie	m u v i tsj e
kryształów	k r i2 S t a w u v
odsyłają	o d s i2 w a j oc5
liczbę	l j tS b e
niewyrażalne	n i e v i2 r a Z a l n e
niefrasobliwość	n i e f r a s o b l j v o sj tsj
szwedzcy	S v e dz c i2
mudżahedinów	m u dZ a h e d j n u v
zazwyczaj	z a z v i2 tS a j
pagóry	p a g u r i2
zachowania	z a h o v a n i a
grafa	g r a f a
tadlock	t a d l o c k
najniższego	n a j n i Z S e g o
udział	u dzj a w
władania	v w a d a n i a
zmyślone	z m i2 sj l o n e
tak-	t a k
piwnicą	p i v n i c oc5
wierzchu	v i e Z h u
kluczowych	k l u tS o v i2 h
najzupełniej	n a j z u p e w n i e j
przysyłali	p S i2 s i2 w a l j
marszczy	m a r S tS i2
księżyca	k sj eo5 Z i2 c a
złowieszczego	z w o v i e S tS e g o
wszędzie	v S eo5 dzj e
żałuję	Z a w u j e
talentem	t a l e n t e m
północy	p u w n o c i2
plotynie	p l o t i2 n i e
bratem	b r a t e m
patrzeć	p a t S e tsj
illustrated	i l l u s t r a t e d
głębin	g w eo5 b i n
człowiecza	tS w o v i e tS a
ułożyły	u w o Z i2 w i2
intrygującą	i n t r i2 g u j oc5 c oc5
przyszły	p S i2 S w i2
pociech	p o tsj e h
prawdziwych	p r a v dzj i v i2 h
osób	o s u b
chcące	h c oc5 c e
wycięto	v i2 tsj eo5 t o
błędu	b w eo5 d u
port)-	p o r t e
że	Z e
ni	n i
porażonej	p o r a Z o n e j
kierujące	k i e r u j oc5 c e
niej	n i e j
ojcu	o j c u
usta	u s t a
najwyższym	n a j v i2 Z S i2 m
zdarzają	z d a Z a j oc5
pełną	p e w n oc5
rozbiegany	r o z b i e g a n i2
źródeł	zj r u d e w
sport	s p o r t
cień	tsj e n~
odpowiedzią	o d p o v i e dzj oc5
aspekty	a s p e k t i2
stanowiska-	s t a n o v i s k a e
dał	d a w
stanu	s t a n u
okute	o k u t e
unicestwienia	u n i c e s t f i e n i a
antyutopii	a n t i2 u t o p i i
wyprawa	v i2 p r a v a
rzecz	Z e tS
herman-	h e r m a n
wyzwanie	v i2 z v a n i e
słowo	s w o v o
napadnięty	n a p a d n i eo5 t i2
ciepły	tsj e p w i2
deluxe	d e l u k s e
145	s t o tS n tsj
obywatele	o b i2 v a t e l e
zakonu	z a k o n u
prosił	p r o sj i w
polemizuje	p o l e m i z u j e
unoszą	u n o S oc5
najważniejsze	n a j v a Z n i e j S e
buying	b u i2 i n g
kijowskie	k i j o v s k i e
wolnego	v o l n e g o
zespołu	z e s p o w u
największą	n a j v i eo5 k S oc5
wód	v u d
stajennymi	s t a j e n n i2 m i
wroga-brata	v r o g a b r a t a
ciszy	tsj i S i2
jakimiś	j a k i m i sj
kreon	k r e o n
rzeczy	Z e tS i2
warsztatów	v a r S t a t u v
położeniami	p o w o Z e n i a m i
rzeczywistości	Z e tS i2 v i s t o sj tsj i
gram	g r a m
biologii	b i o l o g i i
naiwnie	n a i v n i e
mają	m a j oc5
ojcowskiej	o j c o v s k i e j
powstrzymało	p o v s t S i2 m a w o
kieszonkowy	k i e S o n k o v i2
żadnych	Z a d n i2 h
ile	i l e
szuka	S u k a
kontrowersyjne	k o n t r o v e r s i2 j n e
bezsenną	b e z s e n n oc5
strony	s t r o n i2
ciężko	tsj eo5 Z k o
użyj	u Z i2 j
sprostać	s p r o s t a tsj
odznaczać	o dz n a tS a tsj
biuro	b i u r o
sytuacji-	s i2 t u a c j i e
sukces	s u k c e s
pomyślnie	p o m i2 sj l n i e
pokochał	p o k o h a w
chrystusa	h r i2 s t u s a
linii	l j n i i
przystojna	p S i2 s t o j n a
serdeczne	s e r d e tS n e
opowiadały	o p o v i a d a w i2
najcieńszą	n a j tsj e n~ S oc5
zdeptana	z d e p t a n a
członka	tS w o n k a
światłem	sj v i a t w e m
radością	r a d o sj tsj oc5
uzbroić	u z b r o i tsj
swobodnie	s v o b o d n i e
spodziewać	s p o dzj e v a tsj
osła	o s w a
ziemie	zj e m i e
pomoc	p o m o c
skorzystania	s k o Z i2 s t a n i a
śmiała	sj m i a w a
1986	v i eo5 t sj oc5 tsj e
rad	r a d
błagajmy	b w a g a j m i2
przychodniów	p S i2 h o d n i u v
objawia	o b j a v i a
drugie	d r u g i e
zachowują	z a h o v u j oc5
danym	d a n i2 m
spędzone	s p eo5 dz o n e
żelaznej	Z e l a z n e j
karaibów	k a r a i b u v
zaczepia	z a tS e p i a
wrócimy	v r u tsj i m i2
naszym	n a S i2 m
trup	t r u p
autorowi	a u t o r o v i
mocnego	m o c n e g o
towarzyszyły	t o v a Z i2 S i2 w i2
środki	sj r o t k i
wrzącego	v Z oc5 c e g o
adu	a d u
pałaców	p a w a c u v
wymagań	v i2 m a g a n~
v-	f e
świadków	sj v i a t k u v
postanawia	p o s t a n a v i a
spania	s p a n i a
wystarczyło	v i2 s t a r tS i2 w o
krążku	k r oc5 Z k u
każdej	k a Z d e j
objawiające	o b j a v i a j oc5 c e
uśmiechem	u sj m i e h e m
poziom	p o zj o m
uprawia	u p r a v i a
naczyń	n a tS i2 n~
rozbudzi	r o z b u dzj i
wygląda	v i2 g l oc5 d a
prawdziwy	p r a v dzj i v i2
kościoły	k o sj tsj o w i2
skłaniać	s k w a n i a tsj
dawnej	d a v n e j
odcineczki	o d tsj i n e tS k i
kukuruźnikiem	k u k u r u zj n i k i e m
prowincji	p r o v i n c j i
biedronka	b i e d r o n k a
najdrobniejszym	n a j d r o b n i e j S i2 m
gospodarzem	g o s p o d a Z e m
wszyscy	v S i2 s c i2
ciekawsza	tsj e k a v S a
przypominamy	p S i2 p o m i n a m i2
interesującą	i n t e r e s u j oc5 c oc5
pośpiesznie	p o sj p i e S n i e
oglądałem	o g l oc5 d a w e m
połowie	p o w o v i e
leksykony	l e k s i2 k o n i2
powikłany	p o v i k w a n i2
eucharystię	e u h a r i2 s t j e
powołany	p o v o w a n i2
pc	p c
sakramentalnymi	s a k r a m e n t a l n i2 m i
film	f i l m
eurydyki	e u r i2 d i2 k i
zaledwie	z a l e d v i e
paradoks	p a r a d o k s
ułożył	u w o Z i2 w
nieprzydatnym	n i e p S i2 d a t n i2 m
stosem	s t o s e m
przynajmniej	p S i2 n a j m n i e j
etapów	e t a p u v
jedynego	j e d i2 n e g o
zamków	z a m k u v
pełnia	p e w n i a
sa	s a
książek	k tsj oc5 Z e k
bezmyślnie	b e z m i2 sj l n i e
szpitala	S p i t a l a
skorupy	s k o r u p i2
chrześcijaństwa	h Z e sj tsj i j a n~ s t f a
uroczystości	u r o tS i2 s t o sj tsj i
zadowolić	z a d o v o l j tsj
nieee	n i e e e
niemieckiego	n i e m i e c k i e g o
kominami	k o m i n a m i
pokonać	p o k o n a tsj
uwielbiała	u v i e l b i a w a
wszechistnienia	v S e h i s t n i e n i a
zasługują	z a s w u g u j oc5
emulsji	e m u l s j i
wieszczbę	v i e S tS b e
piekle	p i e k l e
willi	v i l l j
pociesza	p o tsj e S a
ojcowie	o j c o v i e
formosusa	f o r m o s u s a
serce	s e r c e
panować	p a n o v a tsj
scenariusze	s c e n a r j u S e
posępne	p o s eo5 p n e
fundamentalnej	f u n d a m e n t a l n e j
wdzięku	v dzj eo5 k u
wieszczbiarzowi	v i e S tS b i a Z o v i
zamarli	z a m a r l j
rzymu	Z i2 m u
chełmiński	h e w m i n~ s k i
sentencje	s e n t e n c j e
brutalną	b r u t a l n oc5
mity	m i t i2
ludwik	l u d v i k
klęsk	k l eo5 s k
gq	g k
śmiesznie	sj m i e S n i e
opatruje	o p a t r u j e
barwiący	b a r v i oc5 c i2
pięknym	p i eo5 k n i2 m
czeczenii	tS e tS e n i i
nieposłuszny	n i e p o s w u S n i2
ottona	o t t o n a
pokutnik	p o k u t n i k
na	n a
uczenia	u tS e n i a
uczy	u tS i2
najsłabszego	n a j s w a b S e g o
obdarzyć	o b d a Z i2 tsj
kamerami	k a m e r a m i
narkotyki	n a r k o t i2 k i
suknem	s u k n e m
piękne	p i eo5 k n e
stopa	s t o p a
przesuwając	p S e s u v a j oc5 c
oraz	o r a z
wszechobecnych	v S e h o b e c n i2 h
przesądzony	p S e s oc5 dz o n i2
słów	s w u v
lewym	l e v i2 m
rota	r o t a
powder	p o v d e r
kijowie-	k i j o v i e e
zbliżają	z b l j Z a j oc5
polatam	p o l a t a m
czarek	tS a r e k
postępu	p o s t eo5 p u
obiecał	o b i e c a w
powtarzają	p o v t a Z a j oc5
hawajach	h a v a j a h
trafił	t r a f i w
długich	d w u g i h
wybiórczą	v i2 b i u r tS oc5
zdawkowo	z d a v k o v o
fali-	f a l j e
mieczem	m i e tS e m
nieprawdopodobnie	n i e p r a v d o p o d o b n i e
ponadto	p o n a d t o
oznaczenie	o z n a tS e n i e
badań	b a d a n~
szelestną	S e l e s t n oc5
owo	o v o
mężczyzna	m eo5 Z tS i2 z n a
kuleczki	k u l e tS k i
chciał	h tsj a w
ucha	u h a
przeprawach	p S e p r a v a h
czynną	tS i2 n n oc5
ogniska	o g n i s k a
odjąć	o d j oc5 tsj
zaproponował	z a p r o p o n o v a w
godziny	g o dzj i n i2
sprzed	s p S e d
skutki	s k u t k i
żyjątek	Z i2 j oc5 t e k
gotowych	g o t o v i2 h
wolę	v o l e
goldinga	g o l d j n g a
krzywulą	k S i2 v u l oc5
firm	f i r m
wątpliwa	v oc5 t p l j v a
palą	p a l oc5
wyrazu-	v i2 r a z u
należną	n a l e Z n oc5
żarnowieckie	Z a r n o v i e c k i e
przestaje	p S e s t a j e
aristajosa	a r j s t a j o s a
pereł	p e r e w
mikroskopijnego	m i k r o s k o p i j n e g o
arcydzieła	a r c i2 dzj e w a
backupy	b a c k u p i2
znów	z n u v
racji	r a c j i
obdarzonym	o b d a Z o n i2 m
płaszcz	p w a S tS
wybierają	v i2 b i e r a j oc5
rozłączył	r o z w oc5 tS i2 w
urlopie	u r l o p i e
ludwikowi	l u d v i k o v i
pomidorowej	p o m i d o r o v e j
wydumanego	v i2 d u m a n e g o
przepis	p S e p i s
żywym	Z i2 v i2 m
zaprosił	z a p r o sj i w
faceci	f a c e tsj i
archeologicznych	a r h e o l o g i tS n i2 h
jedni	j e d n i
samej	s a m e j
dopuszczał	d o p u S tS a w
józefie	j u z e f i e
sakramencie	s a k r a m e n tsj e
ogórków	o g u r k u v
georga	g e o r g a
donikąd	d o n i k oc5 d
dobre	d o b r e
mitologia	m i t o l o g i a
wszechstronnych	v S e h s t r o n n i2 h
dowcipem	d o v tsj i p e m
bezceremonialnie	b e z c e r e m o n i a l n i e
dobro	d o b r o
tworząc	t f o Z oc5 c
stojącej	s t o j oc5 c e j
nazwy	n a z v i2
niemu	n i e m u
kolorowy	k o l o r o v i2
dane	d a n e
skuteczność	s k u t e tS n o sj tsj
stage	s t a g e
wolne	v o l n e
stworzenia	s t f o Z e n i a
przez	p S e z
udanej	u d a n e j
zajrzeć	z a j Z e tsj
próbka	p r u b k a
upływem	u p w i2 v e m
elementarną	e l e m e n t a r n oc5
nogą	n o g oc5
nieżywych	n i e Z i2 v i2 h
umrzeć	u m Z e tsj
sopot	s o p o t
przeszywała	p S e S i2 v a w a
wyziera	v i2 zj e r a
kolorów-	k o l o r u v
przyszłego	p S i2 S w e g o
upodobnić	u p o d o b n i tsj
zawdzięczasz	z a v dzj eo5 tS a S
wyników	v i2 n i k u v
podziękować	p o dzj eo5 k o v a tsj
napadają	n a p a d a j oc5
prawdziwego	p r a v dzj i v e g o
zapadł	z a p a d w
dziedzictwa	dzj e dzj i c t f a
rysowałem	r i2 s o v a w e m
klepanie	k l e p a n i e
greckiej	g r e c k i e j
następstwem	n a s t eo5 p s t f e m
zgromadzi	z g r o m a dzj i
zwykłych	z v i2 k w i2 h
hierarchiczną	h j e r a r h j tS n oc5
znają	z n a j oc5
was	v a s
mógłbyś	m u g w b i2 sj
kośćmi	k o sj tsj m i
dobrym	d o b r i2 m
postawiłabym	p o s t a v i w a b i2 m
rytm	r i2 t m
serca	s e r c a
popełnił	p o p e w n i w
udziel	u dzj e l
zamykały	z a m i2 k a w i2
salazar-	s a l a z a r
magnes	m a g n e s
rajdach	r a j d a h
filmu	f i l m u
xix	k s i k s
decyzji	d e c i2 z j i
poziomie	p o zj o m i e
istnieniu	i s t n i e n i u
naraz	n a r a z
zewnątrz	z e v n oc5 t S
klasnął	k l a s n oc5 w
materiał	m a t e r j a w
grób	g r u b
fabułą	f a b u w oc5
czytać	tS i2 t a tsj
pożyczonych	p o Z i2 tS o n i2 h
zamilkła	z a m i l k w a
zastępy	z a s t eo5 p i2
kogoś	k o g o sj
schodzisz	s h o dzj i S
zarejestrowanej	z a r e j e s t r o v a n e j
tygodniach	t i2 g o d n i a h
kołysząc	k o w i2 S oc5 c
opatrznością	o p a t S n o sj tsj oc5
załóż	z a w u S
osobistej	o s o b i s t e j
nałogu	n a w o g u
jakimi	j a k i m i
puchatka	p u h a t k a
dążąc	d oc5 Z oc5 c
kazać	k a z a tsj
przejścia	p S e j sj tsj a
dłonią	d w o n i oc5
aktorzy	a k t o Z i2
międzymorza	m i eo5 dz i2 m o Z a
opętani	o p eo5 t a n i
należy	n a l e Z i2
kobrę	k o b r e
stają	s t a j oc5
dziadki	dzj a t k i
prywatne	p r i2 v a t n e
milczy	m i l tS i2
czyniłoby	tS i2 n i w o b i2
samemu	s a m e m u
straszne	s t r a S n e
krwiawię	k r v i a v i e
poznasz	p o z n a S
przebłagać	p S e b w a g a tsj
igły	i g w i2
religii	r e l j g i i
score	s c o r e
wieczorem	v i e tS o r e m
przynieść	p S i2 n i e sj tsj
wariantów	v a r j a n t u v
mógłbym	m u g w b i2 m
zobacz	z o b a tS
rozpoznawczym	r o z p o z n a v tS i2 m
lekkim	l e k k i m
pogładził	p o g w a dzj i w
te	t e
dostrzegamy	d o s t S e g a m i2
zupełnie	z u p e w n i e
niepokojącą	n i e p o k o j oc5 c oc5
powie	p o v i e
kolej	k o l e j
sięgają	sj eo5 g a j oc5
linie	l j n i e
trzeźwo	t S e zj v o
czas	tS a s
dnie	d n i e
rezultat	r e z u l t a t
duchu	d u h u
gdzie	g dzj e
wyuczony	v i2 u tS o n i2
spłowiałym	s p w o v i a w i2 m
tchem	t h e m
swojej	s v o j e j
czechy	tS e h i2
współpracownikami	v s p u w p r a c o v n i k a m i
szpiku	S p i k u
zależy	z a l e Z i2
ostatniego	o s t a t n i e g o
odmiany	o d m i a n i2
teologiem-	t e o l o g i e m e
służbowych	s w u Z b o v i2 h
rajdowi	r a j d o v i
grubopienne	g r u b o p i e n n e
skłonni	s k w o n n i
odratowaniu	o d r a t o v a n i u
zamierzał	z a m i e Z a w
sprzecznych	s p S e tS n i2 h
cały	c a w i2
zapiski	z a p i s k i
rys	r i2 s
przewodnikiem	p S e v o d n i k i e m
przeboje	p S e b o j e
planów	p l a n u v
połączenie	p o w oc5 tS e n i e
kuligi	k u l j g i
wyjaśnienie	v i2 j a sj n i e n i e
ramiona	r a m i o n a
miesiącu	m i e tsj oc5 c u
manier	m a n i e r
osiągnąć	o tsj oc5 g n oc5 tsj
kątem	k oc5 t e m
bought	b o u g h t
liz	l j z
moja	m o j a
mówiła	m u v i w a
sprzedającym	s p S e d a j oc5 c i2 m
złudzeniem	z w u dz e n i e m
przyborowski	p S i2 b o r o v s k i
kochaną	k o h a n oc5
ł	w
radzi	r a dzj i
piguły	p i g u w i2
tronu	t r o n u
myślę	m i2 sj l e
brał	b r a w
pańskim	p a n~ s k i m
late	l a t e
grobu	g r o b u
niósł	n i u s w
tam	t a m
ścieżkami	sj tsj e Z k a m i
suity	s u i t i2
ani	a n i
teorię	t e o r j e
planie	p l a n i e
ewangelię	e v a n g e l j e
przeżyła	p S e Z i2 w a
jaka	j a k a
brzmiące	b Z m i oc5 c e
kim	k i m
zasłonięty	z a s w o n i eo5 t i2
trzyma	t S i2 m a
zarabianie	z a r a b i a n i e
optyczna	o p t i2 tS n a
najlepsza	n a j l e p S a
internetowe	i n t e r n e t o v e
zbuduje	z b u d u j e
powinny	p o v i n n i2
zanadrzu	z a n a d Z u
rozwoju	r o z v o j u
mewy	m e v i2
starości	s t a r o sj tsj i
przeobraża	p S e o b r a Z a
bawarskiego	b a v a r s k i e g o
górę	g u r e
nowotna	n o v o t n a
cieniem	tsj e n i e m
powiedzieć	p o v i e dzj e tsj
lubię	l u b i e
polsce	p o l s c e
nasze	n a S e
odgrywać	o d g r i2 v a tsj
bałwochwalców	b a w v o h v a l c u v
skończyłam	s k o n~ tS i2 w a m
puścił	p u sj tsj i w
swoim	s v o i m
bin	b i n
powiek	p o v i e k
ś	sj
zbliżałeś	z b l j Z a w e sj
zasadę	z a s a d e
naturę	n a t u r e
dowierzałby	d o v i e Z a w b i2
pędy	p eo5 d i2
oficer	o f i c e r
spróbujmy	s p r u b u j m i2
dostęp	d o s t eo5 p
przybliżyć	p S i2 b l j Z i2 tsj
zagadka	z a g a t k a
czasach	tS a s a h
mniej	m n i e j
transformacją	t r a n s f o r m a c j oc5
śmiechem	sj m i e h e m
otoczenia	o t o tS e n i a
wieczornych	v i e tS o r n i2 h
tuż	t u S
alianci	a l j a n tsj i
takim	t a k i m
najchętniej	n a j h eo5 t n i e j
obłokami	o b w o k a m i
byłam	b i2 w a m
e	e
burzyki	b u Z i2 k i
łaby	w a b i2
strzelby	s t S e l b i2
sesjach	s e s j a h
coraz	c o r a z
nieporozumieniem	n i e p o r o z u m i e n i e m
oblec	o b l e c
marzeń	m a Z e n~
przyźby	p S i2 zj b i2
sioła	sj o w a
testament	t e s t a m e n t
tajemnie	t a j e m n i e
przeskakiwać	p S e s k a k i v a tsj
arkuszem	a r k u S e m
wstrzemięźliwości	v s t S e m i eo5 zj l j v o sj tsj i
słabszym	s w a b S i2 m
szczęścia	S tS eo5 sj tsj a
wejścia	v e j sj tsj a
zdrowia	z d r o v i a
zmysły	z m i2 s w i2
masa	m a s a
królewskiej	k r u l e v s k i e j
pośladkami	p o sj l a t k a m i
claire	c l a i r e
kanon	k a n o n
swobody-	s v o b o d i2
techniki	t e h n i k i
kazał	k a z a w
siania	tsj a n i a
towarzystwie	t o v a Z i2 s t f i e
wydarł	v i2 d a r w
ojcowe	o j c o v e
przedmiot	p S e d m i o t
jest-	j e s t
udawało	u d a v a w o
zostanie	z o s t a n i e
80	sj oc5 t
sophią	s o p h j oc5
również	r u v n i e S
strażą	s t r a Z oc5
tłumaczyłam	t w u m a tS i2 w a m
człowiek	tS w o v i e k
słuchał	s w u h a w
wieszczbiarz	v i e S tS b i a S
przykazania	p S i2 k a z a n i a
irracjonalne	i r r a c j o n a l n e
zdrowe	z d r o v e
jezioro	j e zj o r o
trudno	t r u d n o
reżyserii	r e Z i2 s e r j i
ból	b u l
dorośnie	d o r o sj n i e
powoli	p o v o l j
politycy	p o l j t i2 c i2
stopień	s t o p i e n~
śmy	sj m i2
koronek	k o r o n e k
wzniosłych	v z n i o s w i2 h
bramę	b r a m e
sushi	s u s h j
świeczki	sj v i e tS k i
młodzież	m w o dzj e S
pomocą	p o m o c oc5
aby	a b i2
jonathan	j o n a t h a n
relacją	r e l a c j oc5
hałaśliwych	h a w a sj l j v i2 h
portu	p o r t u
zapłakać-	z a p w a k a tsj e
stylów	s t i2 l u v
usuń	u s u n~
zabić	z a b i tsj
macho	m a h o
rzeką	Z e k oc5
stwierdził	s t f i e r dzj i w
pochodzą	p o h o dz oc5
szlify	S l j f i2
doznań	d o z n a n~
dwie	d v i e
prawą	p r a v oc5
sytuacji	s i2 t u a c j i
słyszymy	s w i2 S i2 m i2
czasami	tS a s a m i
trafiają	t r a f i a j oc5
muzyki	m u z i2 k i
agnieszko	a g n i e S k o
światu	sj v i a t u
niestety	n i e s t e t i2
zwierzątko	z v i e Z oc5 t k o
czekała	tS e k a w a
trakcie	t r a k tsj e
radość	r a d o sj tsj
jakie	j a k i e
cieszą	tsj e S oc5
masz	m a S
rybitwy	r i2 b i t f i2
wybaczamy	v i2 b a tS a m i2
muzyckie	m u z i2 c k i e
pewnych	p e v n i2 h
służący	s w u Z oc5 c i2
trudny	t r u d n i2
bryk	b r i2 k
mówiło	m u v i w o
rozszerzonych	r o z S e Z o n i2 h
aimee	a j m e e
kup	k u p
wiekuiście	v i e k u i sj tsj e
którego	k t u r e g o
doczekać	d o tS e k a tsj
ujrzeli	u j Z e l j
najlepszych	n a j l e p S i2 h
konstrukcją	k o n s t r u k c j oc5
być	b i2 tsj
patrz	p a t S
jedyny	j e d i2 n i2
udami	u d a m i
powiem	p o v i e m
zgodzić	z g o dzj i tsj
nieodwzajemnionej	n i e o d v z a j e m n i o n e j
całe	c a w e
wpływowi	v p w i2 v o v i
kaczki	k a tS k i
nagroda	n a g r o d a
ekstrawaganckim	e k s t r a v a g a n c k i m
składamy	s k w a d a m i2
kalin	k a l j n
żonę	Z o n e
władcą	v w a d c oc5
walkę	v a l k e
lwa	l v a
komplement	k o m p l e m e n t
czym	tS i2 m
konstrukcji	k o n s t r u k c j i
towarzystwie-	t o v a Z i2 s t f i e e
dużym	d u Z i2 m
ośmiu	o sj m i u
stworzenie	s t f o Z e n i e
pokryła	p o k r i2 w a
samochodów	s a m o h o d u v
caryca	c a r i2 c a
fabuła	f a b u w a
przebaczenia	p S e b a tS e n i a
drewienka	d r e v i e n k a
urządza	u Z oc5 dz a
komedię	k o m e d j e
szymonem	S i2 m o n e m
podłóg	p o d w u g
zacytowane	z a c i2 t o v a n e
twój	t f u j
wspólnocie	v s p u l n o tsj e
spojrzał	s p o j Z a w
cal-	c a l
niebieskiej	n i e b i e s k i e j
wyrzucą	v i2 Z u c oc5
przebiega	p S e b i e g a
morze	m o Z e
biskupom	b i s k u p o m
facet:-	f a c e t e
jako	j a k o
solidnie	s o l j d n i e
anglii	a n g l j i
przygotowując	p S i2 g o t o v u j oc5 c
utworzymy	u t f o Z i2 m i2
kolejny	k o l e j n i2
saskiego	s a s k i e g o
dobrze	d o b Z e
zbite	z b i t e
szanują	S a n u j oc5
poświęciła	p o sj v i eo5 tsj i w a
piec	p i e c
kiereję	k i e r e j e
kwietniu	k f i e t n i u
zblednąć	z b l e d n oc5 tsj
żywotność	Z i2 v o t n o sj tsj
donosy	d o n o s i2
poszło	p o S w o
portretowany	p o r t r e t o v a n i2
napisałem	n a p i s a w e m
ukrywać	u k r i2 v a tsj
podobny	p o d o b n i2
włosów	v w o s u v
różnych	r u Z n i2 h
faktyczny	f a k t i2 tS n i2
obawiasz	o b a v i a S
zachodnim	z a h o d n i m
lekko	l e k k o
raptem	r a p t e m
witają	v i t a j oc5
swiętopełk	s v i eo5 t o p e w k
młodym	m w o d i2 m
wytępienia	v i2 t eo5 p i e n i a
odnośnika	o d n o sj n i k a
instytucją	i n s t i2 t u c j oc5
lekarz	l e k a S
mknie	m k n i e
powieści	p o v i e sj tsj i
odtworzył	o d t f o Z i2 w
samotne	s a m o t n e
odczuwasz	o d tS u v a S
kilku	k i l k u
oglądać	o g l oc5 d a tsj
nieszkodliwe	n i e S k o d l j v e
pójdę	p u j d e
zatoki	z a t o k i
scenografom	s c e n o g r a f o m
okoliczności	o k o l j tS n o sj tsj i
groteską	g r o t e s k oc5
zmienić	z m i e n i tsj
zestarzałe	z e s t a Z a w e
strącał	s t r oc5 c a w
nieszczery	n i e S tS e r i2
młodszy	m w o d S i2
skusić	s k u sj i tsj
dzieciństwie	dzj e tsj i n~ s t f i e
miejskie	m i e j s k i e
programu	p r o g r a m u
kiedy	k i e d i2
obyczajowych	o b i2 tS a j o v i2 h
byś	b i2 sj
24-bitowy	d tS t b i t o v i2
materialnych	m a t e r j a l n i2 h
zagłady	z a g w a d i2
eksperyment	e k s p e r i2 m e n t
największym	n a j v i eo5 k S i2 m
zgadując	z g a d u j oc5 c
manifestują	m a n i f e s t u j oc5
pokoju	p o k o j u
krok	k r o k
okazji	o k a z j i
szyków	S i2 k u v
ramienia	r a m i e n i a
odwodzie	o d v o dzj e
słowiańskie	s w o v i a n~ s k i e
ustalonych	u s t a l o n i2 h
fizyczna	f i z i2 tS n a
odkładam	o t k w a d a m
jelenie	j e l e n i e
zapraszają	z a p r a S a j oc5
neapol	n e a p o l
postacią	p o s t a tsj oc5
arkusz	a r k u S
misterny	m i s t e r n i2
niewolę	n i e v o l e
własną	v w a s n oc5
najgroźniejszego	n a j g r o zj n i e j S e g o
terrorysty	t e r r o r i2 s t i2
trzecie	t S e tsj e
odwracała	o d v r a c a w a
tygodnie	t i2 g o d n i e
perkozy-	p e r k o z i2
piętrowym	p i eo5 t r o v i2 m
słychać	s w i2 h a tsj
wielki	v i e l k i
przesunął	p S e s u n oc5 w
westchnienia	v e s t h n i e n i a
materialny	m a t e r j a l n i2
gwiazd	g v i a z d
starodawne	s t a r o d a v n e
jedynaczki	j e d i2 n a tS k i
natomiast	n a t o m i a s t
itp	i t p
odkrył	o t k r i2 w
błota	b w o t a
rozdeptać	r o z d e p t a tsj
zmierza	z m i e Z a
samo	s a m o
dvd	d f d
trochę	t r o h e
hitlera	h j t l e r a
żyjący	Z i2 j oc5 c i2
opizzoni	o p i z z o n i
fascynacje	f a s c i2 n a c j e
grube	g r u b e
efektem	e f e k t e m
męką	m eo5 k oc5
miłością	m i w o sj tsj oc5
myślą	m i2 sj l oc5
mobilizują	m o b i l j z u j oc5
reliefu	r e l j e f u
istotne	i s t o t n e
wypróbowanego	v i2 p r u b o v a n e g o
prywatnych	p r i2 v a t n i2 h
